,Papallacta_sigmoid,Mica_sigmoid,Orientales_sigmoid,Occidentales_sigmoid,Bellavista_sigmoid,Puengasi_sigmoid,El Placer_sigmoid,El Troje_sigmoid,Paluguillo_sigmoid,Norte_sigmoid,Centro_sigmoid,Sur_sigmoid,Parroquias Norte_sigmoid,Parroquias Sur_sigmoid,Parroquiales Orientales_sigmoid
2027-03-31,100779.97610631013,7560.088253760173,35296.41385269666,15955.291600839979,86594.39237237316,28214.21464493461,11071.281808607733,10489.222463194159,18110.16170630403,51177.285892071704,34511.9917239209,14150.769233076286,8061.937929867953,15072.551993891242,27893.717383091145
2027-04-30,44434.53123067792,6667.975564872704,15370.746342493369,3461.810449977775,37292.13205285302,13749.999698343383,3105.051862397023,6103.257493496427,7984.88526215346,22039.6500432374,14894.045820844947,6892.223185231971,3471.8974941206066,7190.77262284463,12192.947510318349
2027-05-31,32230.77054667524,4655.83532755597,4485.451820765393,201.45824146952472,26476.071144222962,5187.27632586566,585.247837028999,3150.395250905458,5791.86946723787,15647.358046236877,5126.213476551735,3910.3499323283195,2464.922223527361,4270.905922306989,8775.96442036335
2027-06-30,48947.22376962292,991.5739968258117,7421.26423258432,5720.381903906979,41553.34367183596,5672.9705079430805,3560.239121555548,2053.5239040307983,8795.816111401418,24558.02611005487,8060.612833466463,4629.584787862168,3868.616295847906,5468.939179329759,13487.587078030152
2027-07-31,89251.62534961817,2289.322609015779,25637.99389270685,17788.709298484217,77597.90188482242,19105.664036204627,11205.854948072498,6361.242219156166,16038.517075325954,45860.3600139318,26487.521333799727,10893.95719718217,7224.364665477146,11878.54206108686,24811.0175762
2027-08-31,135276.60928045245,2418.104698701871,43207.3061333023,30708.51962236417,118544.35907519961,31574.210170064754,19214.735668520312,10013.436240095647,24309.206687697093,70059.7162134437,44358.38469532618,17117.351887214933,11036.479829901218,18469.94858512225,37716.18043247717
2027-09-30,193765.77851532027,3143.3350826307837,65786.34365526249,49666.29160722252,171210.63526910523,47840.68755076206,30779.92754700134,15163.043570946224,34819.71039920332,101185.48544404132,68611.3993611069,25585.188630834862,15939.710143553737,27126.461362774906,54191.25712840222
2027-10-31,200495.48790092213,2738.022880394827,60622.90714734778,53172.889131666496,177599.71347918053,44017.01681825184,32290.405099909618,14398.246160974448,36029.03917579615,104961.43066619744,66464.88831189925,25730.227549077346,16534.53332491216,27157.412850206052,56126.02329979575
2027-11-30,198907.74610649963,3842.897814683422,55442.241166804604,54778.31609116769,176696.87258137244,40835.83958701284,32850.6095542306,14294.250005528567,35743.72197533768,104427.85169559217,64093.67641736767,25677.769257396914,16450.478837326133,26735.372208547786,55741.432793361884
2027-12-31,225031.90716063988,5029.0162809056355,50616.18496758467,58721.184218431445,199095.8749592852,37940.41323737414,34678.53651416624,14447.986508831009,40438.23371676641,117665.66210093992,63043.275126425404,27545.74995385593,18535.825958709735,28801.553559062057,62966.33123524102
2028-01-31,217210.16504534765,5722.851374456304,41761.08346087277,55391.40749790066,191855.37908390982,31985.061535933713,32362.333287207373,13224.791259038671,39032.6666586489,113386.52903859015,55775.99510410207,25950.5929121261,17861.735792711934,27088.524634807494,60739.64676528587
2028-02-29,200696.7903648945,6762.662993888102,45547.153115108755,51203.269447743914,177275.310877941,35110.67808367344,30425.804142233992,14064.960816415114,36065.21322857197,104769.70872886297,56940.768181502135,25240.258361213848,16504.331442736464,26185.459666417777,56122.602157590365
