,Papallacta_linear,Mica_linear,Orientales_linear,Occidentales_linear,Bellavista_linear,Puengasi_linear,El Placer_linear,El Troje_linear,Paluguillo_linear,Norte_linear,Centro_linear,Sur_linear,Parroquias Norte_linear,Parroquias Sur_linear,Parroquiales Orientales_linear
2041-06-30,-162455.02559999842,-12000.182399999932,-171478.4126400007,-66402.11519999942,-149697.80111663975,-126351.57760056015,-46893.46751855966,-37193.45756040001,-29193.168100319337,-88471.4004599331,-152296.45887769014,-40527.892400818644,-13936.865283959196,-39857.445154984714,-46166.06999584893
2041-07-31,-175039.54675200023,-8902.198080000002,-216010.22133599967,-195264.19872,-192038.07776388433,-156470.32424156507,-118102.45847004,-51252.995177604025,-31454.606551334262,-113494.50395845575,-239055.70402148273,-62132.761936330935,-17878.74503981776,-51843.37659808993,-53397.76863205689
2041-08-31,-247520.72016000096,-17175.722112000047,-309636.25120799895,-327462.25536000007,-284316.60891614296,-226203.68701400375,-194730.30660690716,-79056.81619014952,-44479.47341275215,-168031.115869442,-365761.1966814166,-96733.79649042548,-26469.87629009306,-77356.42350192927,-77025.94911530102
2041-09-30,-298133.3174399985,-22401.152639999986,-385430.9896800001,-343421.8560000004,-329779.8381850561,-282017.8938783603,-208342.64827166405,-94535.26448119199,-53574.55714396783,-194899.88436736772,-427066.78226325987,-111656.3738145642,-30702.502935028635,-92528.31296105403,-91269.21993699693
2041-10-31,-327078.2531519998,-20707.67462399986,-371497.488264001,-343986.64416000014,-353652.1408330845,-271439.7524080188,-207669.0212029582,-91544.84221961512,-58775.96209141449,-209008.4152323529,-417050.08712241286,-111255.94080622727,-32925.0143115602,-92940.42615173524,-99161.84190928075
2041-11-30,-329734.5408000015,-23854.87584000011,-326073.06863999926,-310942.54079999984,-347618.571390721,-240711.71167079965,-187292.913401664,-83956.86230587168,-59253.29698176007,-205442.57569191605,-372471.5369207915,-103185.97898690519,-32363.28899647604,-86846.32080840087,-98908.27681553247
2041-12-31,-336307.9124160018,-16452.875520000176,-207501.18559200037,-230852.63520000014,-333105.7372370772,-153731.90915866848,-136753.17192655243,-56361.92997502792,-60434.531861155294,-196865.4907071134,-252285.12864662148,-77537.59927752172,-31012.144136772025,-67728.94408830511,-98330.5067669733
2042-01-31,-360742.84848000016,-28076.595840000024,-228653.54827200156,-268521.9206399999,-362500.75874779373,-173714.93615080882,-158600.34418276767,-68308.44970039208,-64825.48987185606,-214237.94841994485,-288500.51324274857,-90206.28162679123,-33748.82063941937,-76725.17783659673,-106092.26872359496
2042-02-28,-302685.63494399935,-34560.20736000006,-164378.97907200083,-155095.63776000007,-286713.21807394456,-131115.59860492777,-94441.7911691519,-54059.00063155219,-54392.6085994367,-169447.51188170165,-196517.00127131585,-67163.81339736166,-26693.000602684333,-60115.019130802946,-86943.49940506415
2042-03-31,-230333.69519999903,-29437.115903999947,-80904.23920799978,26827.390080000274,-182183.9902596008,-69919.83474483527,7808.822975217598,-26053.794562255498,-41390.96502744011,-107670.73824342387,-55903.06465036608,-28126.53555366653,-16961.329493168858,-34073.64344651508,-61881.27715902985
2042-04-30,-120368.02176000085,-15602.284800000023,-1983.05496000126,146198.13120000064,-62359.505437824875,-8164.618790040724,76891.27728743991,1535.7313292394392,-21630.133510272484,-36854.46771375416,57332.84813306946,7183.407780840062,-5805.669956261525,-6568.173927194672,-28432.54592848872
2042-05-31,-115480.79625600111,-15741.224639999971,-41618.25813599862,116945.3721599998,-65621.77986853383,-36227.12025452405,58773.277267271886,-6630.991472195834,-20751.899087203434,-38782.471902304795,17033.630307751708,-765.7043517867569,-6109.387705760542,-12335.268134459155,-27967.04996940447
2042-06-30,-112633.23456000071,-12822.62400000001,-34706.34864000138,60600.182399999816,-77288.84368934296,-30078.642818160355,29414.65698863985,-7906.327684559859,-20240.19225043198,-45677.706620403565,-2149.2402947908267,-6362.028886461863,-7195.591347478097,-13398.672918200493,-28857.038324407302
2042-07-31,-123845.7608639989,-19818.499392000027,-161664.20640000142,-75496.8643199997,-120302.11011591367,-122807.08130803145,-51399.27988197142,-40422.65724149742,-22255.08322726097,-71098.54707850376,-152916.9411813924,-41227.03861252847,-11200.126451791613,-37661.21384270373,-35929.18526471127
2042-08-31,-210162.42374399863,-31889.753568000102,-304429.56213599816,-216235.53504000022,-226046.70168514457,-228903.69382081134,-135909.39331666054,-78352.95147117856,-37766.18754679663,-133593.6006959225,-318734.4051421657,-84346.87965765898,-21044.94792688708,-71429.0826525609,-63574.357269586064
2042-09-30,-303576.1545599988,-39982.740480000095,-442911.2400000002,-298300.8384,-323029.8474661475,-330249.30905807996,-188820.11376748816,-109503.06788246427,-54552.634974431945,-190910.63985249074,-453748.03833406325,-118211.01408116473,-30074.07879909803,-101506.5422521173,-91417.04426838062
2042-10-31,-342345.77596799843,-39522.97929599992,-487553.8392000003,-329658.27551999944,-362609.38318288233,-361589.9989196169,-208357.38114644145,-118268.22035926068,-61519.53594144946,-214302.14546108432,-498168.88388837036,-129204.7474214423,-33758.93357432634,-111481.89179321262,-102892.78873475059
2042-11-30,-341565.15456000064,-34077.127679999976,-408280.76567999925,-287689.7087999997,-351540.16286054533,-303222.7958021993,-180696.7469328479,-100353.13426058413,-61379.25827443204,-207760.23625058122,-422774.8615667429,-113139.96879410581,-32728.38916231657,-98727.4656340098,-101440.35062938463
2042-12-31,-268205.3337599989,-18846.963360000052,-271826.97919199895,-235683.3974400009,-278468.877413664,-200215.91941570677,-143595.96925859991,-67826.62404478784,-48196.49847667175,-164575.10655147582,-299565.3145678472,-82154.9533663604,-25925.45248721214,-70451.74784230837,-79942.4870942668
2043-01-31,-277841.6544959992,-28015.18012799986,-323611.4728079997,-257588.69184000045,-291813.16244351026,-240776.0861243382,-158963.50869187666,-82101.08591673826,-49928.145312931156,-172461.5790041145,-348718.1843990069,-94357.6063591959,-27167.805423490587,-80525.46819366328,-83211.76381510845
2043-02-28,-313335.50976000074,-38161.718784000026,-336112.04793599993,-251022.7238400001,-319282.9313264657,-254006.26695964765,-156695.73667050246,-88903.89222261147,-56306.3911038721,-188696.21241394058,-358631.9655733062,-100305.8249700605,-29725.24090649374,-86911.73596957442,-92675.66077034897
2043-03-31,-265018.60022399854,-33028.6896000001,-246214.7791919997,-87719.47487999965,-239087.03983133566,-188268.67844074778,-63916.224209207576,-61186.78152190801,-47623.84246025258,-141300.44054032024,-221920.82376680244,-64390.99880155572,-22259.003408297314,-63028.086512379115,-74703.53675457346
2043-04-30,-171405.2793599991,-17936.25119999994,-97633.45367999934,68096.5055999998,-123613.20690566488,-76753.39992011804,29100.63596183993,-19739.38608611957,-30801.528700991767,-73055.40528124664,-44112.402962708846,-17187.090292450506,-11508.389562917175,-26545.144973584684,-44627.455739837606
2043-05-31,-134029.92153599858,-16986.118176000018,-95289.55732800253,69315.92064000061,-92666.1263883235,-74685.55448152777,29938.720886726398,-18796.24423882086,-24085.176900018705,-54765.68069550069,-41560.579468504526,-14363.435461262008,-8627.216366753099,-22875.4498955342,-34421.56882132031
2043-06-30,-164289.74688000046,-3008.7936000000336,-58891.41936000157,41456.9663999998,-124399.10731651168,-42911.09980344027,18069.199973279843,-7773.762954960577,-29522.867514335783,-73519.87242405675,-23149.613986851647,-11013.702481545974,-11581.556891167187,-19334.08425498451,-43478.424223612994
2043-07-31,-106323.50736000203,-14296.09392000013,-190747.7333279997,-78940.48320000013,-106791.35375966504,-140960.6303105522,-54897.1666600327,-42219.874444823945,-19106.33427259233,-63113.690071962774,-172075.29569720384,-41943.89568607113,-9942.27503502497,-38588.63836022746,-31263.116974702105
2043-08-31,-219037.16822400037,-16633.399679999915,-277437.43706400134,-199269.2102400004,-229106.97297149803,-203220.12804699596,-124532.31029479275,-65022.2828845561,-39360.97912985296,-135402.22102615517,-286226.26919995993,-74408.32611443079,-21329.859183646622,-64728.38412386621,-65487.882506789174
2043-09-30,-278582.06879999954,-24796.36799999996,-397468.296000001,-326728.33920000005,-309601.4305003211,-291560.57665200066,-200355.19454592,-96495.55063344026,-50061.19776335987,-182974.44542568875,-428878.7601967426,-110468.32989022066,-28823.89317957987,-92038.07452801429,-85456.07595314458
2043-10-31,-304021.1663999986,-31316.549184000003,-405835.85519999824,-307004.9040000001,-325557.6729753576,-300298.75577006396,-190685.42872467847,-99853.28223894723,-54632.603602079675,-192404.58472843654,-428558.01124806795,-112407.61848710943,-30309.41935400595,-95638.31836119923,-91795.30823691143
2043-11-30,-253145.99520000443,-23858.94527999987,-289529.63999999873,-187970.80319999997,-254265.14605968352,-214895.54343887977,-119607.46388524771,-69901.42734806356,-45490.33533744025,-150270.7013212717,-292517.7519038459,-78597.75673073228,-23672.085098156473,-70066.23679975444,-74435.08471388696
2043-12-31,-219390.02064000163,-19883.343455999973,-214877.43892799877,-147629.6582399998,-216563.84799537808,-160430.33999080677,-93170.46709416923,-53580.50638570078,-39424.386709008366,-127989.23416526709,-221638.2433404373,-61919.459438186605,-20162.09424836957,-55515.9793633034,-64058.11809179373
2044-01-31,-250436.53353600204,-28226.93443200004,-230027.68800000008,-110648.18591999914,-232828.98804728594,-174750.93764827214,-74848.95133283501,-57752.50260504964,-45003.445076419506,-137601.93193594553,-219033.03129021544,-63232.0712704421,-21676.378787202644,-59946.84852847131,-71413.21425957931
2044-02-29,-303955.03756799735,-34949.111040000105,-274466.44324799906,-102945.83328000084,-274794.7748720823,-209060.98179055192,-73916.31021883246,-67579.22036973597,-54620.72025096929,-162403.7119494006,-248901.73987060785,-72297.24570611585,-25583.39354059077,-70808.91148809297,-85748.05260015791
2044-03-31,-215156.35411199927,-37570.50604800007,-215576.32053600065,39410.2454400016,-166613.2487445874,-168591.4848304931,5411.743225819897,-50138.05342058628,-38663.59683392616,-98468.43000805192,-146071.06236626022,-42938.30688598263,-15511.693458121154,-49987.12451090058,-57379.73231925769
2044-04-30,-122568.1632000003,-32023.978560000018,-78271.03871999867,171999.93599999975,-57751.65291168075,-69180.88356143981,84977.3869525441,-17036.416767167626,-22025.49892703956,-34131.22687080316,9617.29235982243,-3393.7069434681907,-5376.678886077483,-18200.10494246031,-28268.84883860359
2044-05-31,-126588.14784000069,-20885.35968000011,-2964.9888000003994,193731.6182400002,-55647.31528137624,-11148.568008481525,101860.63525209576,1872.7142725435551,-22747.890166847967,-32887.56333129108,75653.73327060975,11242.499224078842,-5180.765052696108,-6043.319812782574,-28720.59066208126
2044-06-30,-28504.7683199998,-2785.6224000001093,10993.203360002488,116763.89759999886,5644.769008031115,6559.130863439292,62616.16077551991,8244.456222960027,-5122.306867103558,3336.0584837477654,58488.81064522453,14195.003263104707,525.5279946478549,4049.7719423896633,-4306.182547709439
2044-07-31,-107983.9010880012,-10821.271679999947,-118810.59652799927,-52612.07904000068,-101610.10214349348,-88630.70772031043,-36098.89694683254,-27541.70104643982,-19404.707025513984,-60051.57036680356,-109523.79716114048,-29569.750216905726,-9459.900509559084,-28117.89775572531,-30936.994961553253
