years,senwat_BAU_yearly_losses,senwat_NBS_yearly_benefits,senwat_GROSS_yearly_benefits,NBS_yearly_investments,senwat_NET_yearly_cashflow,senwat_BAU_cumul_losses,senwat_NBS_cumul_benefits,senwat_GROSS_cumul_benefits,NBS_cumul_investments,senwat_NET_cumul_cashflow,senwat_ROI
2066,-0.870054477601138,0.229210595518361,1.0992650731195,0.306846223293791,0.792418849825708,-34.2498637707047,50.49617200897,84.7460357796746,36.5644040006208,48.1816317790538,1.31771959904599
2067,-0.944525106472948,0.189622909902619,1.13414801637557,0.29955024698118,0.834597769394386,-35.1943888771776,50.6857949188726,85.8801837960502,36.863954247602,49.0162295484482,1.32965197437105
2068,-0.678888272940131,0.296103963604263,0.974992236544394,0.292427749324369,0.682564487220025,-35.8732771501178,50.9818988824768,86.8551760325946,37.1563819969264,49.6987940356682,1.33755740910887
2069,-1.67109815724991,-0.00926973718967154,1.66182842006023,0.285474605468406,1.37635381459183,-37.5443753073677,50.9726291452872,88.5170044526548,37.4418566023948,51.0751478502601,1.36411899635856
2070,-0.573724341560219,0.0123622758612395,0.586086617421458,0.278686788636275,0.307399828785183,-38.1180996489279,50.9849914211484,89.1030910700763,37.720543391031,51.3825476790452,1.36219001795352
2071,-1.1763758217787,-0.0232175902702588,1.15315823150844,0.272060367796866,0.881097863711577,-39.2944754707066,50.9617738308782,90.2562493015847,37.9926037588279,52.2636455427568,1.37562684238542
2072,-1.21908946503059,0.0141484109844482,1.23323787601504,0.265591505388396,0.96764637062664,-40.5135649357372,50.9759222418626,91.4894871775998,38.2581952642163,53.2312919133835,1.39136965415543
2073,-0.916467538179966,-0.0526923737475397,0.863775164432426,0.25927645509596,0.604498709336466,-41.4300324739171,50.9232298681151,92.3532623420322,38.5174717193123,53.8357906227199,1.39769793342192
2074,-0.773585869265727,-0.0800149700207687,0.693570899244958,0.253111559681925,0.440459339563034,-42.2036183431829,50.8432148980943,93.0468332412771,38.7705832789942,54.276249962283,1.39993379959516
2075,-1.04945023851286,-0.104000448940141,0.945449789572723,0.247093248867914,0.698356540704809,-43.2530685816957,50.7392144491542,93.9922830308499,39.0176765278621,54.9746065029878,1.40896668882195
2076,-0.968194050545677,-0.0751078485962135,0.893086201949464,0.24121803726715,0.651868164682314,-44.2212626322414,50.664106600558,94.8853692327993,39.2588945651292,55.6264746676701,1.4169139320871
2077,-0.813040646516967,-0.095504813546825,0.717535832970142,0.235482522365959,0.482053310604183,-45.0343032787584,50.5686017870111,95.6029050657695,39.4943770874952,56.1085279782743,1.42067129844768
2078,-1.2599592120228,-0.170219653654849,1.08973955836795,0.229883382553276,0.859856175814671,-46.2942624907812,50.3983821333563,96.6926446241374,39.7242604700485,56.9683841540889,1.43409552449799
2079,-0.735564228457228,-0.142387194208381,0.593177034248847,0.224417375196992,0.368759659051854,-47.0298267192384,50.2559949391479,97.2858216583863,39.9486778452455,57.3371438131408,1.43527012421426
2080,-1.06552886193145,-0.221360971090349,0.844167890841102,0.219081334766057,0.625086556075045,-48.0953555811698,50.0346339680575,98.1299895492274,40.1677591800115,57.9622303692158,1.44300383074541
