years,senddr_BAU_yearly_losses,senddr_NBS_yearly_benefits,senddr_GROSS_yearly_benefits,senddr_NBS_yearly_investments,senddr_NET_yearly_cashflow,senddr_BAU_cumul_losses,senddr_NBS_cumul_benefits,senddr_GROSS_cumul_benefits,senddr_NBS_cumul_investments,senddr_NET_cumul_cashflow,senddr_ROI
2058,-1.76796095827966,0.524909885029621,2.29287084330928,0.524185133959532,1.76868570934975,-29.6926363903277,50.2607862396621,79.9534226299898,36.2005612974817,43.7528613325081,1.20862383798319
2059,-1.04324030124996,0.448534688983638,1.4917749902336,0.521327847919417,0.97044714231418,-30.7358766915777,50.7093209286457,81.4451976202234,36.7218891454011,44.7233084748223,1.21789236653211
2060,-1.52797628294344,0.451819659773902,1.97979594271734,0.518742405822934,1.46105353689441,-32.2638529745211,51.1611405884196,83.4249935629407,37.2406315512241,46.1843620117167,1.24016054744374
2061,-1.6480325077114,0.172854347003897,1.8208868547153,0.516425036219225,1.30446181849608,-33.9118854822326,51.3339949354235,85.245880417656,37.7570565874433,47.4888238302127,1.25774697824316
2062,-0.743846728468649,0.269490230292184,1.01333695876083,0.514372380537202,0.498964578223632,-34.6557322107012,51.6034851657157,86.2592173764169,38.2714289679805,47.9877884084364,1.25388023657504
2063,-1.46300423899347,0.357472729217879,1.82047696821135,0.512581484998075,1.30789548321327,-36.1187364496947,51.9609578949336,88.0796943446282,38.7840104529786,49.2956838916496,1.27103111091142
2064,-1.64394917247768,0.223797709508536,1.86774688198621,0.511049793554396,1.35669708843182,-37.7626856221723,52.1847556044421,89.9474412266144,39.295060246533,50.6523809800815,1.28902667822097
2065,-1.4771402464322,0.0584950832908662,1.53563532972306,0.509775141832077,1.02586018789099,-39.2398258686045,52.243250687733,91.4830765563375,39.804835388365,51.6782411679724,1.2982905384173
2066,-1.40048405291422,0.367607122920992,1.76809117583521,0.508755752055346,1.25933542377986,-40.6403099215188,52.610857810654,93.2511677321727,40.3135911404204,52.9375765917523,1.31314465157321
2067,-1.52883073564751,0.304960011039794,1.83379074668731,0.507990228938067,1.32580051774924,-42.1691406571663,52.9158178216938,95.08495847886,40.8215813693585,54.2633771095015,1.32928160275125
