,Papallacta_SEMBASE-superficial,Mica_SEMBASE-superficial,Orientales_SEMBASE-superficial,Occidentales_SEMBASE-superficial,Bellavista_SEMBASE-superficial,Puengasi_SEMBASE-superficial,El Placer_SEMBASE-superficial,El Troje_SEMBASE-superficial,Paluguillo_SEMBASE-superficial,Norte_SEMBASE-superficial,Centro_SEMBASE-superficial,Sur_SEMBASE-superficial,Parroquias Norte_SEMBASE-superficial,Parroquias Sur_SEMBASE-superficial,Parroquiales Orientales_SEMBASE-superficial,Papallacta_BASE-superficial,Mica_BASE-superficial,Orientales_BASE-superficial,Occidentales_BASE-superficial,Bellavista_BASE-superficial,Puengasi_BASE-superficial,El Placer_BASE-superficial,El Troje_BASE-superficial,Paluguillo_BASE-superficial,Norte_BASE-superficial,Centro_BASE-superficial,Sur_BASE-superficial,Parroquias Norte_BASE-superficial,Parroquias Sur_BASE-superficial,Parroquiales Orientales_BASE-superficial
2075-02-28,10328051.21383353,2806758.88890381,6688695.092349486,2919148.4119116603,9193377.570582157,5942293.061084714,2097675.9340140424,2703054.0163596007,1855950.8031258853,5433286.144214055,7071941.243311886,2653226.2558533186,855903.4518211988,2425616.513222632,2896519.9885396413,10324109.400394332,2580295.8917805497,6555239.164976765,1802442.6035361954,8912644.284362055,5749834.739142953,1486837.6777219633,2486776.598585083,1855242.4592508608,5267372.772057975,6386589.424075625,2411749.352734095,829767.1828741074,2303990.1743524754,2862452.50306471
2075-03-31,10808012.290294578,3002202.7352351034,7415108.500936065,3531780.968703356,9739136.847535307,6540229.041635749,2478099.2547221244,2959410.705630224,1942199.8085659351,5755829.876893366,7925883.049391322,2907321.320301714,906713.640505537,2625636.220085555,3045218.925155468,10804373.719750939,2850983.6592366155,7313058.970097421,2319535.569067914,9434910.60173717,6402577.578652901,1821578.6185236902,2780953.853531532,1941545.9574392433,5576032.1656266665,7251099.637637663,2682464.1075990167,878390.1770217305,2519844.008553345,3008411.0773902633
2075-04-30,11530319.684897821,3010923.876335,6899177.114236855,3437370.243641317,10307895.615192592,6179504.131599561,2394771.896264333,2878314.796950459,2071998.4473761388,6091966.308578822,7533574.7699812185,2882301.5513568465,959665.0817744302,2621983.5047251647,3238969.679961793,11526778.145196699,2887445.2647993816,6798503.416332264,2270595.1077622212,10015048.285525685,6054850.185929277,1763602.3389125683,2717778.8785417825,2071362.0326918468,5918893.536745679,6891710.921965229,2673220.743954605,932400.9953824413,2524787.1223789197,3203531.7283156724
2075-05-31,10671504.327306777,2996589.1318988334,6395071.996535389,2987056.248421049,9491849.875691457,5817139.754230396,2122268.477500363,2762460.8812871147,1917669.3276170278,5609683.27653365,6980799.311768492,2715168.464891203,883691.2234268747,2465110.417324195,2991980.23586518,10668025.811185878,2888614.2231073673,6303655.673943792,1946513.2980142883,9230422.917147852,5705746.999358332,1559364.2617283403,2620169.9680338074,1917044.238270102,5455179.94403438,6408160.031209404,2529253.207333721,859352.373586465,2378687.224582126,2960289.1711759386
2075-06-30,15634796.502768725,3521531.2403814555,7474197.2932501,2671172.30181171,13482755.969620287,6807104.180386556,2045695.8362927523,3182419.9478409244,2809572.93154754,7968308.77804559,7800874.225161408,3246809.3200750477,1255244.5807716486,3109003.1258237055,4333161.7023725975,15632504.110391406,3637433.9412070187,7490056.296708189,1683530.0517006784,13235447.337957531,6868552.387137578,1526837.5707866643,3177944.9223831943,2809160.988637335,7822149.376732902,7419671.680914904,3156771.7017521015,1232220.147163846,3087947.61256494,4303356.42114205
2075-07-31,16685151.68660565,3773320.3649383523,7138939.027466594,2632562.242825558,14334347.585190123,6679394.801105924,2013494.9905840103,3260696.014682824,2998321.7580830352,8471599.422847362,7659713.854893892,3350785.329633895,1334527.7601812005,3211134.8769041644,4617823.1802083915,16683380.310957707,3908986.532584595,7168820.737842264,1609519.8993715376,14078669.211948052,6759317.513160981,1477539.726472613,3266333.1191785927,2998003.4418790997,8320493.504261296,7280646.406358253,3264387.4215188227,1310724.1036323635,3194453.389466536,4587113.713774545
2075-08-31,14229300.312125623,3410387.1278179986,6235061.5626726495,2397980.995860309,12262501.603383087,5883473.813937331,1815603.2323006345,2915004.796092559,2557005.2660889747,7247138.447599404,6782310.022120292,2960163.7525678147,1141638.8992749655,2806377.312672418,3942653.457700906,14227315.530580692,3413045.325448837,6214421.900090823,1413857.4749399133,12016319.586045679,5870044.220996237,1291700.2459969898,2845625.0023133117,2556648.6008453504,7101644.875352996,6329971.563798509,2827629.0297427047,1118719.3534608525,2755930.920684534,3913035.8442222583
2075-09-30,10908725.100477459,2974691.259895605,5312944.18044017,2158202.3885154785,9480377.003427563,5043123.724645725,1610847.7797909952,2527898.1002416885,1960297.9005557992,5602902.80902569,5859444.294512823,2493653.9913683766,882623.099019106,2310795.549990299,3032038.295677608,10906257.16453971,2857786.1581541393,5230394.425679797,1252670.7352114504,9253328.926906154,4934123.961302596,1119866.2900819692,2391547.985808322,1959854.4124677856,5468717.395801536,5349393.963841634,2323659.973112734,861484.9230949628,2230160.637844702,3004611.3420040896
2075-10-31,10345773.410172017,2856462.8813642412,6134606.127018014,2377726.0530885654,9073364.543192547,5572375.887809626,1776103.8665942142,2606940.0033657677,1859135.4818079118,5362358.445026794,6471175.918041555,2539440.214965216,844730.2389712259,2345771.163701897,2885344.9918583413,10343415.275010305,2706820.0871342993,6052474.039778384,1463476.4056877603,8844240.070794357,5449479.4168761475,1279206.6171404498,2452841.5959919454,1858711.7249193513,5226945.881839465,5943738.072743697,2357048.284144384,823398.7505909547,2257464.4127314184,2857690.3275215826
2075-11-30,10724201.351066226,2990344.0919250087,6885376.483008785,2586498.702778933,9435517.615379762,6160832.649095197,1941151.7305276555,2806920.674556931,1927138.982786601,5576390.910689439,7135625.918210143,2715478.424102879,878446.6899918559,2506605.024767868,2994483.9940423938,10721464.936741948,2823010.6301673106,6801512.640580387,1652488.1207679606,9201172.399645561,6029043.788747572,1432937.4888472978,2641897.1135678203,1926647.249132528,5437892.888190527,6590731.680243233,2524146.3265202986,856629.1504070018,2413143.1918857954,2966142.5302999355
