,Papallacta_linear,Mica_linear,Orientales_linear,Occidentales_linear,Bellavista_linear,Puengasi_linear,El Placer_linear,El Troje_linear,Paluguillo_linear,Norte_linear,Centro_linear,Sur_linear,Parroquias Norte_linear,Parroquias Sur_linear,Parroquiales Orientales_linear
2036-10-31,-258360.52636800148,-26542.67616000003,-402340.3624079982,-222732.26208000025,-267178.7626960026,-295759.71615661215,-145509.58926122403,-91017.09115945175,-46427.38658832968,-157902.64875333942,-386532.54018837586,-96614.96892519062,-24874.342806997825,-86200.94353881315,-76881.04643243551
2036-11-30,-349938.2476799991,-38780.985599999956,-474555.78863999806,-343162.9151999997,-372190.3537000315,-352085.2219317602,-214655.06804687995,-116810.64805895975,-62883.90310809645,-219964.49903672002,-494970.521967235,-129768.54450064152,-34650.92192947294,-111071.75803767587,-105357.7217050707
2036-12-31,-431974.7893439997,-43594.977599999984,-467130.55039200094,-378198.1151999999,-448158.361410344,-348926.15664154943,-232972.6633599603,-120608.98922149208,-77625.86964511685,-264861.5915935142,-507544.1518976055,-139862.0875349238,-41723.54344730324,-119835.2263143314,-128715.08670584997
2037-01-31,-377958.18412800133,-41567.69663999998,-419353.01013599895,-321313.1846400006,-389734.2415495878,-314292.4981545238,-199574.24265640788,-108301.19773395569,-67919.08568780171,-230332.93675580528,-448531.06880396325,-123422.81532292068,-36284.2578882667,-106404.3894306426,-112336.37688308302
2037-02-28,-407942.41420799866,-50674.98239999992,-468659.5744319996,-326646.67392000044,-415643.68387825787,-353075.59420660697,-205976.98765123216,-121024.77691953629,-73307.25183317717,-245645.4171720501,-488561.3939850433,-134262.07668470917,-38696.4269690658,-117053.33429149538,-120652.69061942305
2037-03-31,-266219.0858880002,-36849.15935999999,-272971.8144000005,-133432.79903999995,-251431.07908101007,-208828.69745616056,-90086.97879647976,-70443.29479593551,-47839.56973407394,-148595.76773687731,-262285.6639857739,-74752.06705570081,-23408.233462442062,-69405.72208438162,-76380.86521333177
2037-04-30,-245289.4617600022,-32702.745600000024,-278204.0709600011,-81198.28800000064,-221290.60426502582,-210727.81635084096,-62519.05546776042,-65477.75091444026,-44078.51627827226,-130782.74712063093,-240811.4972484922,-65762.55639120308,-20602.155257073813,-64784.89106322243,-69142.54711470846
2037-05-31,-188607.1158719994,-33149.43187199999,-263883.76214400027,-380.86847999924794,-154733.62012073305,-200804.15667124745,-18684.016007154714,-57962.29443197744,-33892.698722198606,-91447.56949135335,-195102.34902410768,-50448.83020316623,-14405.70003324002,-54477.0650670419,-51331.36278071534
2037-06-30,-171948.6921600001,-26955.633599999943,-309550.77936000004,1153.4399999999441,-140694.1028619837,-230382.89278344065,-20589.129581760382,-61610.075450640405,-30899.17998115183,-83150.21479143295,-223129.239826194,-52108.158251458546,-13098.620976450737,-57050.34522136301,-46753.26201797486
2037-07-31,-244919.51164799742,-28075.92624000006,-386388.6623999998,-116247.3811199998,-229696.9818085134,-285154.50401064055,-87980.09181105578,-82059.17677833582,-44012.03624314559,-135750.91624883143,-328704.30105029885,-80487.51820711559,-21384.789006372564,-78288.0224375506,-70077.46675449656
2037-08-31,-293065.68009600136,-30149.489952000033,-464050.7586719999,-217976.49503999995,-294451.7101281509,-340921.66489596106,-147139.61037649936,-102059.3784821619,-52663.90271325107,-174020.96068573743,-428250.25793949934,-105814.5251571422,-27413.454212930985,-96993.00963922474,-86183.82260070392
2037-09-30,-387147.41856000107,-34249.96224000002,-539180.1806399999,-293616.5759999994,-390385.8876133431,-395778.1562532,-192359.89874102385,-120944.24664523208,-69570.3911152319,-230718.0595794865,-515266.6996884397,-130648.62082306133,-36344.92613680224,-118399.78282937477,-114018.43108389736
2037-10-31,-399404.9364480013,-42022.08719999998,-574195.2714719996,-329858.6198399998,-409441.9744239561,-423885.5340961674,-214195.69133942388,-132895.4748037198,-71773.06707970588,-241980.20688455785,-558730.814732302,-142616.78524733323,-38119.047818870284,-127095.84157853923,-118424.5400403582
2037-11-30,-437992.3497600006,-40163.55839999986,-495533.49263999984,-338512.8671999995,-443230.37506742403,-367505.3151165601,-213604.41948335967,-120438.2241035999,-78707.22525187209,-261949.15166484797,-507863.7631008988,-136790.93158548488,-41264.74791877699,-120990.84528668667,-129179.90237276116
2037-12-31,-366096.38083200064,-28233.817919999827,-326625.03439199924,-264456.37728000013,-365879.83239823766,-242999.94686626736,-162815.58530747984,-83150.43736064411,-65787.5196355104,-216234.98094735807,-353942.65198125876,-100586.32626009407,-34063.412396275846,-88636.11423008749,-107428.84490197618
2038-01-31,-322911.894816,-28817.173439999984,-237524.71039199922,-250295.40864000027,-326953.87160667777,-180303.45257818745,-149526.56635912834,-68807.40741349151,-58027.2674984351,-193229.73811954632,-286760.18355819955,-86884.27102505881,-30439.405446581834,-73888.92092767963,-95259.91116226371
2038-02-28,-301837.05215999857,-32002.822655999975,-234563.87203199882,-207568.08575999993,-299056.8683773447,-179592.5992119843,-126769.37521772156,-67092.56600114878,-54240.11827315157,-176742.609211009,-266997.6880064816,-80797.43073948612,-27842.194445930538,-70386.55833640043,-88262.98457608791
